"(PDH-CSV 4.0) (","\\DESKTOP-INSGQFC\Memory\Cache Bytes","\\DESKTOP-INSGQFC\Memory\Committed Bytes","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Access Methods\Page Splits/sec","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Buffer Manager\Buffer cache hit ratio","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:General Statistics\User Connections","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Free Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Maximum Workspace Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Total Server Memory (KB)","\\DESKTOP-INSGQFC\Processor(_Total)\% Processor Time"
"11/10/2022 17:48:28.216","278585344","8151769088","0","100","1","34696","26280","237464","3.3348355217131975259"
"11/10/2022 17:48:43.222","278118400","8152125440","0","100","1","34824","1831440","237464","7.564575863377909215"
"11/10/2022 17:48:58.208","278900736","8148410368","0","100","1","34528","1818000","237464","3.6854632904301909413"
"11/10/2022 17:49:13.211","279470080","8154136576","0","100","1","34488","1818000","237464","2.8353239823965314947"
"11/10/2022 17:49:28.215","278773760","8164450304","0","100","1","34000","1799760","237464","5.2331976151643866402"
"11/10/2022 17:49:43.225","279072768","8172883968","0","100","1","34464","1787040","237464","5.5658707693176934228"
"11/10/2022 17:49:58.224","279379968","8163176448","0","100","1","34288","25800","237464","7.5065677082071129433"
"11/10/2022 17:50:13.214","278900736","8170418176","0","100","1","34248","1797000","237464","3.9784853571293132823"
"11/10/2022 17:50:28.218","279490560","8177610752","0","100","1","34144","1797000","237464","4.049168787575673889"
"11/10/2022 17:50:43.209","279789568","8178491392","0","100","1","34224","25800","237464","7.5038616901841432849"
"11/10/2022 17:50:58.210","278274048","8187207680","0","100","1","34120","1792080","237464","3.7224232482398145194"
"11/10/2022 17:51:13.221","278581248","8173740032","0","100","1","34256","1794480","237464","6.7693101776404525083"
"11/10/2022 17:51:28.214","279277568","8169148416","0","100","1","34160","1794480","237464","4.0360852555415771548"
"11/10/2022 17:51:43.228","278720512","8171802624","0","100","1","34128","1794480","237464","5.7781700422549704399"
"11/10/2022 17:51:58.228","279040000","8189820928","0","100","1","34120","1787880","237464","3.5493137440997246657"
"11/10/2022 17:52:13.214","279359488","8168443904","0","100","1","34232","1788480","237464","7.0800229320976963976"
"11/10/2022 17:52:28.229","278626304","8173019136","0","100","1","34160","1788480","237464","2.8912134722227533778"
"11/10/2022 17:52:43.216","278671360","8179515392","0","100","1","34144","1788480","237464","7.2652927282598200875"
"11/10/2022 17:52:58.228","277950464","8201396224","0","100","1","34912","1769040","237464","6.9610488002423753784"
"11/10/2022 17:53:13.215","277491712","8180244480","0","100","1","34896","26400","237464","6.0781100178490143904"
"11/10/2022 17:53:28.219","277823488","8186052608","0","100","1","34840","1773480","237464","5.2879248417756263834"
"11/10/2022 17:53:43.214","277331968","8188678144","0","100","1","34784","1773480","237464","2.9868470388336287868"
"11/10/2022 17:53:58.222","277618688","8198332416","0","100","1","34320","1773480","237464","7.8072733126963944628"
"11/10/2022 17:54:13.209","278188032","8232288256","0","100","1","34400","1775280","237464","7.5941033980954975036"
"11/10/2022 17:54:28.224","277966848","8221982720","0","100","1","34160","1780320","237464","5.0416253890677165117"
"11/10/2022 17:54:43.221","278568960","8210292736","0","100","1","34104","1780320","237464","4.8892713350394139127"
"11/10/2022 17:54:58.211","278945792","8226783232","0","100","1","33800","1780320","237464","4.2453656752000634711"
"11/10/2022 17:55:13.226","278212608","8203583488","0","100","1","34248","1767480","237464","4.0292927659630661807"
"11/10/2022 17:55:28.225","278499328","8176168960","0","100","1","34352","25920","237464","6.5665610665396112466"
"11/10/2022 17:55:43.216","279068672","8177496064","0","100","1","34320","1770360","237464","5.1270195999253198593"
"11/10/2022 17:55:58.224","278401024","8192651264","0","100","1","34208","1770360","237464","2.8902179993938070801"
"11/10/2022 17:56:13.217","278929408","8191594496","0","100","1","34272","25800","237464","5.9857096336849764384"
"11/10/2022 17:56:28.233","279248896","8193560576","0","100","1","34240","1770840","237464","5.3323393219561925349"
"11/10/2022 17:56:43.231","278503424","8175218688","0","100","1","34344","1768320","237464","6.3413572862981881784"
"11/10/2022 17:56:58.221","279064576","8190033920","0","100","1","34216","1768320","237464","4.3942289622201702315"
"11/10/2022 17:57:13.219","279408640","8192307200","0","100","1","34192","1768320","237464","6.4049363133790944147"
"11/10/2022 17:57:28.204","278900736","8198782976","0","100","1","34224","1770000","237464","6.2863575356176149"
"11/10/2022 17:57:43.204","279470080","8186998784","0","100","1","34312","25920","237464","6.2514887263590228628"
"11/10/2022 17:57:58.215","279773184","8194445312","0","100","1","34928","1764960","237464","4.9234624208733368533"
"11/10/2022 17:58:13.226","279289856","8192925696","0","100","1","34848","1764960","237464","3.4566900870209527064"
"11/10/2022 17:58:28.210","279642112","8193609728","0","100","1","34880","26400","237464","5.95449003277070954"
"11/10/2022 17:58:43.220","279945216","8193511424","0","100","1","34864","1765560","237464","5.0747246269997940971"
"11/10/2022 17:58:58.216","279490560","8182120448","0","100","1","34528","1765440","237464","9.4477379324851682441"
"11/10/2022 17:59:13.228","279785472","8183902208","0","100","1","34488","1765440","237464","3.1187566739648509007"
"11/10/2022 17:59:28.214","279580672","8194531328","0","100","1","34040","1765440","237464","4.3126639005473972333"
"11/10/2022 17:59:43.220","279625728","8211419136","0","100","1","34480","1756920","237464","6.3380582607424411634"
"11/10/2022 17:59:58.217","279957504","8200568832","0","100","1","34296","1762320","237464","9.7217443500168911896"
"11/10/2022 18:00:13.228","279748608","8206147584","0","100","1","34216","1762320","237464","6.2934432859346189915"
"11/10/2022 18:00:28.215","279822336","8211800064","0","100","1","34128","1762320","237464","4.4001227761804706518"
"11/10/2022 18:00:43.221","279351296","8212189184","0","100","1","34240","1760640","237464","5.583715937932454132"
"11/10/2022 18:00:58.217","278896640","8206643200","0","100","1","34248","25800","237464","5.990695279240821236"
